[01-delhivery-prospectu] ID:4b512546 | Entity:retail sales network | Attr:number of retail points | Val:397 retail points | Scope: | Time:{'end': '2021-12-31', 'text': 'as of December 31, 2021', 'start': '2021-12-31'}
[02-delhivery-annual-re] ID:958d2244 | Entity:Delhivery USA | Attr:R&D expenditure purpose | Val:R&D expenditure is being incurred by Delhivery USA, but not in specific technologies to improve the environmental and social impacts of product and processes  | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[01-delhivery-prospectu] ID:0b5d2714 | Entity:Active Customers | Attr:number of Active Customers availing cross-border shipping services | Val:407 customers | Scope: | Time:{'end': '2021-03-31', 'text': 'Fiscal 2021', 'start': '2020-04-01'}
[02-delhivery-annual-re] ID:6847acd1 | Entity:Capex | Attr:Capex percentage | Val:30.20 % | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[01-delhivery-prospectu] ID:cd2a66a0 | Entity:cross-border shipping services | Attr:air freight transacted | Val:2050 tonnes | Scope: | Time:{'end': '2021-03-31', 'text': 'Fiscal 2021', 'start': '2020-04-01'}
[02-delhivery-annual-re] ID:1b5931d1 | Entity:Capex | Attr:Capex percentage | Val:9.89 % | Scope: | Time:{'end': None, 'text': 'FY23', 'start': None}
[01-delhivery-prospectu] ID:c86cbcb8 | Entity:sale of traded goods | Attr:revenue from sale of traded goods | Val:0 ₹ | Scope: | Time:{'end': '2019-03-31', 'text': 'Fiscal 2019', 'start': '2018-04-01'}
[02-delhivery-annual-re] ID:8f3b1cc2 | Entity:inputs | Attr:percentage of inputs sourced sustainably | Val:55 % | Scope:vendors catering to the top 75% of the spend | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:32282a6b | Entity:sale of traded goods | Attr:revenue from sale of traded goods | Val:57.5 ₹ million | Scope: | Time:{'end': '2020-03-31', 'text': 'Fiscal 2020', 'start': '2019-04-01'}
[02-delhivery-annual-re] ID:a2808616 | Entity:Flyers | Attr:recycled material mandated in production process | Val:20 % | Scope: | Time:{'end': None, 'text': None, 'start': None}
[02-delhivery-annual-re] ID:2bfab8f1 | Entity:Company | Attr:tentative timeline for registering as a Brand Owner | Val:Q3FY24  | Scope: | Time:{'end': None, 'text': 'Q3FY24', 'start': None}
[02-delhivery-annual-re] ID:a6584081 | Entity:Permanent employees Male | Attr:Total permanent male employees | Val:17072  | Scope:Permanent employees Male | Time:{'end': None, 'text': None, 'start': None}
[02-delhivery-annual-re] ID:6b8cbaa2 | Entity:Permanent employees Female | Attr:Total permanent female employees | Val:1455  | Scope:Permanent employees Female | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:008b96a2 | Entity:sale of traded goods | Attr:revenue from sale of traded goods | Val:110.89 ₹ million | Scope: | Time:{'end': '2021-03-31', 'text': 'Fiscal 2021', 'start': '2020-04-01'}
